,Empresa,RMSE_knn,RMSE_xgb,RMSE_ARIMA,RMSE_RF,RMSE_Lasso
165,GP Invest,0.009234802278796302,0.006851363381517356,0.006939779902119108,0.007502509351908361,0.0068513581673370115
166,Gafisa,0.0010686595724867347,0.00113931613190382,0.0012057549803801161,0.0009041084809459509,0.0011393134484064449
167,Generalshopp,0.0019720807995234992,0.001751706955202261,0.0024888779571464676,0.0018760653925603294,0.0017517034582715128
168,Ger Paranap,0.0012406440885647022,0.0013366913060342894,0.0016364097835593252,0.0012191858340087534,0.0013366954280192383
169,Gerdau,0.009141661072037344,0.013643874657604787,0.016238414051682155,0.012274900678953338,0.013643872162780773
170,Gerdau Met,0.008924211364023443,0.014150170604755166,0.016667861194099853,0.011202304986801016,0.014150161983727278
171,Gol,0.002607245515735644,0.002709580224178444,0.003913055261440552,0.002750763725704248,0.0027095788904556496
172,Gps,0.0011541057098994865,0.0012732712243476649,0.001344071411404444,0.0013083845198069524,0.001273263291063609
173,Granja Faria,0.0004302406290218608,0.00043022026822048254,0.0008712556132919325,0.0004098756065514797,0.0004302406290218608
174,Grendene,0.001008392909607749,0.0010315465217713416,0.001267511426168252,0.0007542474246949241,0.0010315490158267237
175,Grupo Mateus,0.0017172834961452117,0.0015334911001743516,0.0015443034270216818,0.0015566150559287346,0.0015334932500721764
176,Grupo Natura,0.021640409875809487,0.022711056032546122,0.026181980556471963,0.023728115790056258,0.022711051187780985
177,Grupo Sbf,0.000846964602801978,0.000847689027602016,0.0013016669302566364,0.0008061444669250151,0.0008476821175775435
178,Grupo Soma,0.009419976620408018,0.009379287872891098,0.011410400370550172,0.009237067024489598,0.009379298837001296
179,Grupo Toky,0.002000996287453759,0.0019885657430498524,0.0020542565882430597,0.0019855022060906793,0.0019885630269834303
180,Guararapes,0.001427609479451564,0.001376543900516084,0.0014484208486511478,0.0012872982159536819,0.0013765447701459715
181,Habitasul,8.552885012897442e-05,8.808047480927988e-05,8.050093114101159e-05,8.896138433345863e-05,8.808088849015036e-05
182,Hapvida,0.05886547461415046,0.061679065459758986,0.06619135052649457,0.06261542941597907,0.06167906648880389
183,Hbr Realty,0.0005175841520686745,0.00043354458515804,0.0009778447325768233,0.00039620755273741,0.0004335321504679232
184,Helbor,0.001442293275473145,0.0013426372635853211,0.0015442059452353742,0.001070129695831342,0.0013426355554177348
185,Hidrovias,0.0017400684306258089,0.0016171178161102113,0.0018491264449975587,0.001366483305583087,0.0016171154406494066
186,Hmobi S/A,0.0014810784613831119,0.0016436712861508734,0.001970563848935183,0.0017611046253533198,0.0016436833168509478
187,Hypera,0.0021526776995078522,0.0024229710689086022,0.001899633480097208,0.001909107808598788,0.0024229714401115565
188,Ienergia,0.0002283838460065923,0.00022535418447369696,0.00019280783579139584,0.00028214924084970816,0.00022532784885733682
189,Igua SA,0.0038379805833907567,0.0036517436595702936,0.005365030122915408,0.003540901380008779,0.003651743862110191
190,Iguacu Cafe,0.00025569682103751936,0.00023912196400248774,0.0002411489778478098,0.00023546417998637276,0.00023913154446384883
191,Iguatemi,0.0008046640672439107,0.0007243719554443792,0.0009273906504436538,0.0006144046728745964,0.0007243700415114243
