,Empresa,knn_MAE,knn_train_RMSE,knn_test_RMSE,xgb_MAE,xgb_train_RMSE,xgb_test_RMSE,ARIMA_MAE,ARIMA_train_RMSE,ARIMA_test_RMSE,RF_MAE,RF_train_RMSE,RF_test_RMSE,Lasso_MAE,Lasso_train_RMSE,Lasso_test_RMSE
169,Mobly,9.057043959839631e-05,0.00012045022072438334,9.057043959839631e-05,9.381271193808516e-05,0.00012367894868883333,9.381271193808516e-05,0.00014394647124939554,0.00014625586579711667,0.00014394647124939554,9.521858647951154e-05,0.00012383435989613334,9.521858647951154e-05,9.381370317691165e-05,0.00012367894731693332,9.381370317691165e-05
170,Mont Aranha,0.0001699772856513561,0.00010703937643415356,0.0001699772856513561,0.00014643529426290098,0.00011715810588045846,0.00014643529426290098,0.0002748570632233502,0.00016282785905338625,0.0002748570632233502,0.00013868747474393304,9.059345905601555e-05,0.00013868747474393304,0.0001464315714023294,0.0001171581047579318,0.0001464315714023294
171,Moura Dubeux,0.0001898523922187535,0.00014393310097480995,0.0001898523922187535,0.00017457608853270508,0.00020526263038760252,0.00017457608853270508,0.0002634121830809117,0.0002533412246477293,0.0002634121830809117,0.00016423119123925887,0.0001860722501733204,0.00016423119123925887,0.0001745744287063123,0.00020526262740708413,0.0001745744287063123
172,Movida,0.00017451722733680046,0.00020106566415789893,0.00017451722733680046,0.0001370620884455558,0.00023811674011546002,0.0001370620884455558,0.0002208548496165589,0.00027844195892189945,0.0002208548496165589,0.00015553444857847878,0.0001892176585072294,0.00015553444857847878,0.0001370637612728395,0.00023811673928377807,0.0001370637612728395
173,Mrs Logist,0.027430644763204247,0.01500120213257246,0.027430644763204247,0.03227115473845351,0.01939702111284225,0.03227115473845351,0.07002793992587593,0.020666473355888348,0.07002793992587593,0.03533537962470657,0.016028984761096564,0.03533537962470657,0.03227115767653215,0.019397021110879376,0.03227115767653215
174,Multilaser,3.665218211904945e-05,4.3219464538195604e-05,3.665218211904945e-05,4.350312487435806e-05,4.9978676776789044e-05,4.350312487435806e-05,6.164101974473195e-05,6.238511752331873e-05,6.164101974473195e-05,4.575793623513075e-05,4.9764870007292405e-05,4.575793623513075e-05,4.350158512114424e-05,4.9978674139774055e-05,4.350158512114424e-05
175,Multiplan,7.632679883653793e-05,7.188206106776391e-05,7.632679883653793e-05,7.351617363475019e-05,9.026145686042367e-05,7.351617363475019e-05,0.000143726344342495,0.00014270358878901257,0.000143726344342495,6.564429552220282e-05,6.23821865068125e-05,6.564429552220282e-05,7.351909146826936e-05,9.02614553019463e-05,7.351909146826936e-05
176,Mundial,0.00016995665419879244,0.00020479379443537736,0.00016995665419879244,0.00021890608551767518,0.0002588029954976777,0.00021890608551767518,0.00036696538629294785,0.0003507208563568132,0.00036696538629294785,0.0002146347837463617,0.00025328543657866375,0.0002146347837463617,0.00021889894361490757,0.0002588029949385885,0.00021889894361490757
177,Neoenergia,8.759747403150118e-05,8.600340924930633e-05,8.759747403150118e-05,8.009349230347249e-05,9.344630157590685e-05,8.009349230347249e-05,0.00012155098064455974,0.00011818312339510554,0.00012155098064455974,8.277997881156403e-05,8.283827925767372e-05,8.277997881156403e-05,8.009402999661361e-05,9.344630071409692e-05,8.009402999661361e-05
178,Neogrid,6.758190557720261e-05,4.1625807780888507e-05,6.758190557720261e-05,4.826252958845548e-05,4.733783044572195e-05,4.826252958845548e-05,0.00010783991466227543,5.5948739687859256e-05,0.00010783991466227543,5.3154457496353375e-05,4.506554504749686e-05,5.3154457496353375e-05,4.8268294878367864e-05,4.7337823801622666e-05,4.8268294878367864e-05
