Nome,Data,FCLA
All Norte,2019-10-01,256301.0
All Norte,2020-01-01,-467911.0
All Norte,2020-04-01,223035.0
All Norte,2020-07-01,937291.0
All Norte,2020-10-01,587361.0
All Norte,2021-01-01,1335016.0
All Norte,2021-04-01,-53437.0
All Norte,2021-07-01,653757.0
All Norte,2021-10-01,585927.0
All Norte,2022-01-01,373528.0
All Norte,2022-04-01,534898.0
All Norte,2022-07-01,409482.0
All Norte,2022-10-01,409194.0
All Norte,2023-01-01,817269.0
All Norte,2023-04-01,1117402.0
All Norte,2023-07-01,399684.0
All Norte,2023-10-01,431292.0
All Norte,2024-01-01,1071435.0
All Norte,2024-04-01,535700.0
All Norte,2024-07-01,951059.0
All Norte,2024-10-01,69238.0
Alliar,2016-01-01,-8043.0
Alliar,2016-04-01,24173.0
Alliar,2016-07-01,-26480.0
Alliar,2016-10-01,-22793.0
Alliar,2017-01-01,-39204.0
Alliar,2017-04-01,-18968.0
Alliar,2017-07-01,13195.0
Alliar,2017-10-01,18191.0
Alliar,2018-01-01,3777.0
Alliar,2018-04-01,24910.0
Alliar,2018-07-01,-6947.0
Alliar,2018-10-01,53416.0
Alliar,2019-01-01,22529.0
Alliar,2019-04-01,41358.0
Alliar,2019-07-01,34066.0
Alliar,2019-10-01,40156.0
Alliar,2020-01-01,36695.0
Alliar,2020-04-01,9473.0
Alliar,2020-07-01,-19503.0
Alliar,2020-10-01,24491.0
Alliar,2021-01-01,31125.0
Alliar,2021-04-01,22272.0
Alliar,2021-07-01,-7438.0
Alliar,2021-10-01,-671.0
Alliar,2022-01-01,4964.0
Alliar,2022-04-01,170724.0
Alliar,2022-07-01,-21141.0
Alliar,2022-10-01,-80253.0
Alliar,2023-01-01,10799.0
Alliar,2023-04-01,12110.0
Alliar,2023-07-01,-2868.0
Alliar,2023-10-01,-9156.0
Alliar,2024-01-01,-19321.0
Alliar,2024-04-01,118682.0
Alliar,2024-07-01,17161.0
Allied,2020-01-01,178687.0
Allied,2020-04-01,260466.0
Allied,2020-07-01,-302849.0
Allied,2020-10-01,133436.0
Allied,2021-01-01,-43168.0
Allied,2021-04-01,-235191.0
Allied,2021-07-01,325438.0
Allied,2021-10-01,40665.0
Allied,2022-01-01,408728.0
Allied,2022-04-01,512286.0
Allied,2022-07-01,650632.0
Allied,2022-10-01,517560.0
Allied,2023-01-01,721021.0
Allied,2023-04-01,582902.0
Allied,2023-07-01,325156.0
Allied,2023-10-01,474809.0
Allied,2024-01-01,221903.0
Allied,2024-04-01,293800.0
Allied,2024-07-01,372219.0
Allos,2014-01-01,-7865.0
Allos,2014-04-01,7430.0
Allos,2014-07-01,12031.0
Allos,2014-10-01,-4447.0
Allos,2015-01-01,-405.0
Allos,2015-04-01,11198.0
Allos,2015-07-01,21628.0
Allos,2015-10-01,36400.0
Allos,2016-01-01,60098.0
Allos,2016-04-01,41746.0
Allos,2016-07-01,33774.0
Allos,2016-10-01,49537.0
Allos,2017-01-01,27427.0
Allos,2017-04-01,35099.0
Allos,2017-07-01,43719.0
Allos,2017-10-01,44552.0
Allos,2018-01-01,23713.0
Allos,2018-04-01,39977.0
Allos,2018-07-01,34018.0
Allos,2018-10-01,36413.0
Allos,2019-01-01,33469.0
Allos,2019-04-01,-96731.0
Allos,2019-07-01,224074.0
Allos,2019-10-01,-50588.0
Allos,2020-01-01,307262.0
Allos,2020-04-01,-19495.0
Allos,2020-07-01,56492.0
Allos,2020-10-01,141602.0
Allos,2021-01-01,78706.0
Allos,2021-04-01,-288414.0
Allos,2021-07-01,165793.0
Allos,2021-10-01,259948.0
Allos,2022-01-01,129757.0
Allos,2022-04-01,11474.0
Allos,2022-07-01,413896.0
Allos,2022-10-01,290481.0
Allos,2023-01-01,-1163644.0
Allos,2023-04-01,295794.0
Allos,2023-07-01,406415.0
Allos,2023-10-01,1016713.0
Allos,2024-01-01,686141.0
Allos,2024-04-01,1088902.0
Allos,2024-07-01,368097.0
Alpargatas,2014-01-01,8450.0
Alpargatas,2014-04-01,28098.0
Alpargatas,2014-07-01,-72208.0
Alpargatas,2014-10-01,-84571.0
Alpargatas,2015-01-01,56843.0
Alpargatas,2015-04-01,87632.0
Alpargatas,2015-07-01,36523.0
Alpargatas,2015-10-01,109207.0
Alpargatas,2016-01-01,-20637.0
Alpargatas,2016-04-01,74743.0
Alpargatas,2016-07-01,65838.0
Alpargatas,2016-10-01,123810.0
Alpargatas,2017-01-01,15346.0
Alpargatas,2017-04-01,-58252.0
Alpargatas,2017-07-01,43104.0
Alpargatas,2017-10-01,197357.0
Alpargatas,2018-01-01,147770.0
Alpargatas,2018-04-01,51943.0
Alpargatas,2018-07-01,50197.0
Alpargatas,2018-10-01,-98295.0
Alpargatas,2019-01-01,103254.0
Alpargatas,2019-04-01,167990.0
Alpargatas,2019-07-01,-38436.0
Alpargatas,2019-10-01,134161.0
Alpargatas,2020-01-01,72915.0
Alpargatas,2020-04-01,-151734.0
Alpargatas,2020-07-01,195073.0
Alpargatas,2020-10-01,80448.0
Alpargatas,2021-01-01,243265.0
Alpargatas,2021-04-01,-41676.0
Alpargatas,2021-07-01,50852.0
Alpargatas,2021-10-01,-190142.0
Alpargatas,2022-01-01,-1283148.0
Alpargatas,2022-04-01,-1569799.0
Alpargatas,2022-07-01,-185100.0
Alpargatas,2022-10-01,-389647.0
Alpargatas,2023-01-01,-221038.0
Alpargatas,2023-04-01,-75859.0
Alpargatas,2023-07-01,125043.0
Alpargatas,2023-10-01,258617.0
Alpargatas,2024-01-01,300714.0
Alpargatas,2024-04-01,150642.0
Alpargatas,2024-07-01,223604.0
Alpargatas,2024-10-01,63509.0
Alphaville,2020-01-01,-10605.0
Alphaville,2020-04-01,-36871.0
Alphaville,2020-07-01,3250.0
Alphaville,2020-10-01,-27318.0
Alphaville,2021-01-01,-60487.0
Alphaville,2021-04-01,3037.0
Alphaville,2021-07-01,3882.0
Alphaville,2021-10-01,-9182.0
Alphaville,2022-01-01,24695.0
Alphaville,2022-04-01,30972.0
Alphaville,2022-07-01,47868.0
Alphaville,2022-10-01,67016.0
Alphaville,2023-01-01,12482.0
Alphaville,2023-04-01,8326.0
Alphaville,2023-07-01,-3041.0
Alphaville,2023-10-01,7846.0
Alphaville,2024-01-01,-5622.0
Alphaville,2024-04-01,3035.0
Alphaville,2024-07-01,-28049.0
Alupar,2014-01-01,-7362.0
Alupar,2014-04-01,126895.0
Alupar,2014-07-01,103462.0
Alupar,2014-10-01,154543.0
Alupar,2015-01-01,162659.0
Alupar,2015-04-01,163212.0
Alupar,2015-07-01,123701.0
Alupar,2015-10-01,65174.0
Alupar,2016-01-01,59853.0
Alupar,2016-04-01,146877.0
Alupar,2016-07-01,200407.0
Alupar,2016-10-01,349530.0
Alupar,2017-01-01,195778.0
Alupar,2017-04-01,238251.0
Alupar,2017-07-01,212912.0
Alupar,2017-10-01,212882.0
Alupar,2018-01-01,199923.0
Alupar,2018-04-01,249570.0
Alupar,2018-07-01,119912.0
Alupar,2018-10-01,-157982.0
Alupar,2019-01-01,71971.0
Alupar,2019-04-01,105072.0
Alupar,2019-07-01,-287122.0
Alupar,2019-10-01,-317630.0
Alupar,2020-01-01,-183830.0
Alupar,2020-04-01,-223549.0
Alupar,2020-07-01,-334323.0
Alupar,2020-10-01,-81148.0
Alupar,2021-01-01,33933.0
Alupar,2021-04-01,142289.0
Alupar,2021-07-01,273140.0
Alupar,2021-10-01,255383.0
Alupar,2022-01-01,332237.0
Alupar,2022-04-01,368991.0
Alupar,2022-07-01,239539.0
Alupar,2022-10-01,208392.0
Alupar,2023-01-01,399466.0
Alupar,2023-04-01,529386.0
Alupar,2023-07-01,555434.0
Alupar,2023-10-01,498226.0
Alupar,2024-01-01,575207.0
Alupar,2024-04-01,569188.0
Alupar,2024-07-01,526884.0
Alupar,2024-10-01,472467.0
Ambev S/A,2014-01-01,741758.0
Ambev S/A,2014-04-01,1510535.0
Ambev S/A,2014-07-01,1723328.0
Ambev S/A,2014-10-01,7578932.0
Ambev S/A,2015-01-01,2371374.0
Ambev S/A,2015-04-01,2687499.0
Ambev S/A,2015-07-01,4008221.0
Ambev S/A,2015-10-01,9323216.0
Ambev S/A,2016-01-01,-4601564.0
Ambev S/A,2016-04-01,825993.0
Ambev S/A,2016-07-01,3723191.0
Ambev S/A,2016-10-01,6536129.0
Ambev S/A,2017-01-01,1102800.0
Ambev S/A,2017-04-01,1690153.0
Ambev S/A,2017-07-01,3842652.0
Ambev S/A,2017-10-01,8221812.0
Ambev S/A,2018-01-01,-2757996.0
Ambev S/A,2018-04-01,5275348.0
Ambev S/A,2018-07-01,4282770.0
Ambev S/A,2018-10-01,7633954.0
Ambev S/A,2019-01-01,1509358.0
Ambev S/A,2019-04-01,2411813.0
Ambev S/A,2019-07-01,1905678.0
Ambev S/A,2019-10-01,7819074.0
Ambev S/A,2020-01-01,-51357.0
Ambev S/A,2020-04-01,1023507.0
Ambev S/A,2020-07-01,5815491.0
Ambev S/A,2020-10-01,7464383.0
Ambev S/A,2021-01-01,1457968.0
Ambev S/A,2021-04-01,176016.0
Ambev S/A,2021-07-01,4742965.0
Ambev S/A,2021-10-01,9143907.0
Ambev S/A,2022-01-01,-333886.0
Ambev S/A,2022-04-01,439494.0
Ambev S/A,2022-07-01,4293269.0
Ambev S/A,2022-10-01,9814149.0
Ambev S/A,2023-01-01,-1711909.0
Ambev S/A,2023-04-01,2152507.0
Ambev S/A,2023-07-01,6621367.0
Ambev S/A,2023-10-01,11793192.0
Ambev S/A,2024-01-01,-261757.0
Ambev S/A,2024-04-01,2385059.0
Ambev S/A,2024-07-01,6952324.0
Ambev S/A,2024-10-01,12455170.0
Ambipar,2020-10-01,-51122.0
Ambipar,2021-01-01,-6203.0
Ambipar,2021-04-01,-136096.0
Ambipar,2021-07-01,252611.0
Ambipar,2021-10-01,-86501.0
Ambipar,2022-01-01,-120656.0
Ambipar,2022-04-01,68835.0
Ambipar,2022-07-01,-143663.0
Ambipar,2022-10-01,121012.0
Ambipar,2023-01-01,-210246.0
Ambipar,2023-04-01,-193160.0
Ambipar,2023-07-01,1215.0
Ambipar,2023-10-01,93822.0
Ambipar,2024-01-01,-55928.0
Ambipar,2024-04-01,165367.0
Ambipar,2024-07-01,684005.0
Americanas,2014-01-01,-418423.0
Americanas,2014-04-01,-490101.0
Americanas,2014-07-01,-683123.0
Americanas,2014-10-01,-8117.0
Americanas,2015-01-01,-253847.0
Americanas,2015-04-01,-644689.0
Americanas,2015-07-01,-620848.0
Americanas,2015-10-01,633042.0
Americanas,2016-01-01,-579986.0
Americanas,2016-04-01,-631389.0
Americanas,2016-07-01,-570002.0
Americanas,2016-10-01,468303.0
Americanas,2017-01-01,-993900.0
Americanas,2017-04-01,-61235.0
Americanas,2017-07-01,47380.0
Americanas,2017-10-01,143340.0
Americanas,2018-01-01,-331678.0
Americanas,2018-04-01,26492.0
Americanas,2018-07-01,45238.0
Americanas,2018-10-01,291800.0
Americanas,2019-01-01,-576470.0
Americanas,2019-04-01,-26026.0
Americanas,2019-07-01,-3442.0
Americanas,2019-10-01,291716.0
Americanas,2020-01-01,-421163.0
Americanas,2020-04-01,66428.0
Americanas,2020-07-01,-886341.0
Americanas,2020-10-01,510369.0
Americanas,2021-01-01,-802915.0
Americanas,2021-04-01,-1169362.0
Americanas,2021-07-01,-1535307.0
Americanas,2021-10-01,-1289069.0
Americanas,2022-01-01,-1062186.0
Americanas,2022-04-01,-512098.0
Americanas,2022-07-01,-2128860.0
Americanas,2022-10-01,-3485954.0
Americanas,2023-01-01,-3374000.0
Americanas,2023-04-01,955000.0
Americanas,2023-07-01,-340000.0
Americanas,2023-10-01,2100000.0
Americanas,2024-01-01,-3645000.0
Americanas,2024-04-01,1367000.0
Americanas,2024-07-01,-2887000.0
Ampla Energ,2014-01-01,1271.0
Ampla Energ,2014-04-01,5784.0
Ampla Energ,2014-07-01,-38868.0
Ampla Energ,2014-10-01,-3660.0
Ampla Energ,2015-01-01,-127183.0
Ampla Energ,2015-04-01,-316105.0
Ampla Energ,2015-07-01,-36853.0
Ampla Energ,2015-10-01,10120.0
Ampla Energ,2016-01-01,-223641.0
Ampla Energ,2016-04-01,-2596.0
Ampla Energ,2016-07-01,21373.0
Ampla Energ,2016-10-01,-14475.0
Ampla Energ,2017-01-01,10148.0
Ampla Energ,2017-04-01,-185091.0
Ampla Energ,2017-07-01,-359465.0
Ampla Energ,2017-10-01,-38310.0
Ampla Energ,2018-01-01,-203073.0
Ampla Energ,2018-04-01,83372.0
Ampla Energ,2018-07-01,-43204.0
Ampla Energ,2018-10-01,-14642.0
Ampla Energ,2019-01-01,-266672.0
Ampla Energ,2019-04-01,-77247.0
Ampla Energ,2019-07-01,162405.0
Ampla Energ,2019-10-01,19652.0
Ampla Energ,2020-01-01,-287159.0
Ampla Energ,2020-04-01,-32965.0
Ampla Energ,2020-07-01,85391.0
Ampla Energ,2020-10-01,172016.0
Ampla Energ,2021-01-01,-410133.0
Ampla Energ,2021-04-01,-278740.0
Ampla Energ,2021-07-01,-560444.0
Ampla Energ,2021-10-01,-619455.0
Ampla Energ,2022-01-01,-544032.0
Ampla Energ,2022-04-01,341279.0
Ampla Energ,2022-07-01,-523897.0
Ampla Energ,2022-10-01,-285552.0
Ampla Energ,2023-01-01,-14880.0
Ampla Energ,2023-04-01,38200.0
Ampla Energ,2023-07-01,-472188.0
Ampla Energ,2023-10-01,-495477.0
Ampla Energ,2024-01-01,22017.0
Ampla Energ,2024-04-01,23613.0
Ampla Energ,2024-07-01,-191368.0
Ampla Energ,2024-10-01,-45706.0
Anima,2014-01-01,19364.0
Anima,2014-04-01,4468.0
Anima,2014-07-01,-271898.0
Anima,2014-10-01,-20218.0
Anima,2015-01-01,-2851.0
Anima,2015-04-01,-67285.0
Anima,2015-07-01,25780.0
Anima,2015-10-01,-48101.0
Anima,2016-01-01,-19642.0
Anima,2016-04-01,-1821.0
Anima,2016-07-01,92076.0
Anima,2016-10-01,-8172.0
Anima,2017-01-01,13764.0
Anima,2017-04-01,-11946.0
Anima,2017-07-01,91903.0
Anima,2017-10-01,-12708.0
Anima,2018-01-01,3169.0
Anima,2018-04-01,89775.0
Anima,2018-07-01,-9700.0
Anima,2018-10-01,-31355.0
Anima,2019-01-01,-1681.0
Anima,2019-07-01,-85859.0
Anima,2019-10-01,65439.0
Anima,2020-01-01,-83815.0
Anima,2020-04-01,117122.0
Anima,2020-07-01,-95238.0
Anima,2020-10-01,59613.0
Anima,2021-01-01,33259.0
Anima,2021-04-01,696729.0
Anima,2021-07-01,-3463476.0
Anima,2021-10-01,3429976.0
Anima,2022-01-01,59741.0
Anima,2022-04-01,24132.0
Anima,2022-07-01,133740.0
Anima,2022-10-01,-215901.0
Anima,2023-01-01,4037.0
Anima,2023-04-01,121926.0
Anima,2023-07-01,196485.0
Anima,2023-10-01,-24311.0
Anima,2024-01-01,112151.0
Anima,2024-04-01,132491.0
Anima,2024-07-01,313356.0
Armac,2021-01-01,-106291.0
Armac,2021-04-01,-123439.0
Armac,2021-10-01,-264947.0
Armac,2022-01-01,-198355.0
Armac,2022-04-01,-223022.0
Armac,2022-07-01,-184277.0
Armac,2022-10-01,-177337.0
Armac,2023-01-01,71519.0
Armac,2023-04-01,-48703.0
Armac,2023-07-01,114204.0
Armac,2023-10-01,-21958.0
Armac,2024-01-01,68400.0
Armac,2024-07-01,72003.0
Assai,2020-01-01,-2296000.0
Assai,2020-04-01,1049000.0
Assai,2020-07-01,-85000.0
Assai,2021-01-01,-396000.0
Assai,2021-04-01,135000.0
Assai,2021-07-01,-1000.0
Assai,2021-10-01,258000.0
Assai,2022-01-01,-674000.0
Assai,2022-04-01,-860000.0
Assai,2022-07-01,998000.0
Assai,2022-10-01,1890000.0
Assai,2023-01-01,-510000.0
Assai,2023-04-01,1778000.0
Assai,2023-07-01,-298000.0
Assai,2023-10-01,1938000.0
Assai,2024-01-01,52000.0
Assai,2024-04-01,-356000.0
