,Empresa,knn_MAE,knn_train_RMSE,knn_test_RMSE,xgb_MAE,xgb_train_RMSE,xgb_test_RMSE,ARIMA_MAE,ARIMA_train_RMSE,ARIMA_test_RMSE,RF_MAE,RF_train_RMSE,RF_test_RMSE,Lasso_MAE,Lasso_train_RMSE,Lasso_test_RMSE
106,Fleury,0.0033124109884668804,0.0018684403784807123,0.0033124109884668804,0.006568257757675122,0.00457394066244827,0.006568257757675122,0.006208046886352537,0.0043285812348928575,0.006208046886352537,0.00515762122098413,0.0027100664776369453,0.00515762122098413,0.006568257753299651,0.00457394066244827,0.006568257753299651
107,Fras-Le,0.0018777863682115491,0.0013923214239541795,0.0018777863682115491,0.002324735655965638,0.0021493793306083127,0.002324735655965638,0.002925755518346748,0.0021661669751717153,0.002925755518346748,0.001793242198545244,0.0014326016606117256,0.001793242198545244,0.002324735656586949,0.0021493793306083127,0.002324735656586949
108,Gafisa,0.002318601177844479,0.003076471289937242,0.002318601177844479,0.00427648011638728,0.006214529294034958,0.00427648011638728,0.0045324513165940815,0.006372331178470258,0.0045324513165940815,0.0032750891227600106,0.004598316079991542,0.0032750891227600106,0.004276480121162804,0.006214529294034958,0.004276480121162804
109,Generalshopp,0.006173596316805678,0.003643212410263,0.006173596316805678,0.007409101059461852,0.006401931114634374,0.007409101059461852,0.008158913532363204,0.007196348753430184,0.008158913532363204,0.0067022078853412196,0.005337915677152363,0.0067022078853412196,0.007409101055862425,0.006401931114634368,0.007409101055862425
110,Ger Paranap,0.002890356723774548,0.0036148282306349916,0.002890356723774548,0.005297763095130633,0.0076903159144359155,0.005297763095130633,0.006062813352881582,0.0088793033952081,0.006062813352881582,0.00448322936961388,0.005701124654713361,0.00448322936961388,0.005297763095591641,0.0076903159144359155,0.005297763095591641
111,Gerdau,0.018176285345369875,0.014956521536115947,0.018176285345369875,0.03423433674984649,0.03873415086221063,0.03423433674984649,0.028713571874338272,0.03414605417588255,0.028713571874338272,0.026755059464113863,0.02619090561126488,0.026755059464113863,0.03423433675146928,0.03873415086221063,0.03423433675146928
112,Gerdau Met,0.016469907668016204,0.014734046584951843,0.016469907668016204,0.03430246537728987,0.038367792342128296,0.03430246537728987,0.03221274844925041,0.0360236904384107,0.03221274844925041,0.029924977591538022,0.026469163665007657,0.029924977591538022,0.03430246540203674,0.038367792342128296,0.03430246540203674
113,Gps,0.010201148025887084,0.008847007347362046,0.010201148025887084,0.014466521633285483,0.013892390578241392,0.014466521633285483,0.016428195570026793,0.01640187764736699,0.016428195570026793,0.014707866025710092,0.013516860817786408,0.014707866025710092,0.014466521705429029,0.013892390578241392,0.014466521705429029
114,Grazziotin,0.0004125316091438696,0.0002908208379923197,0.0004125316091438696,0.0004377247391583131,0.0004269636483098549,0.0004377247391583131,0.0006224710750624171,0.0006495356267083743,0.0006224710750624171,0.0003694483245915483,0.00025415537576514626,0.0003694483245915483,0.00043772473896879144,0.0004269636483098549,0.00043772473896879144
115,Grendene,0.0030761137549358,0.0025435814273912826,0.0030761137549358,0.0036321062383972897,0.003523117429004838,0.0036321062383972897,0.004145153709524009,0.003915739207686534,0.004145153709524009,0.002803376007820017,0.00235569390761598,0.002803376007820017,0.003632106236079477,0.003523117429004838,0.003632106236079477
