,Empresa,RMSE_knn,RMSE_xgb,RMSE_ARIMA,RMSE_RF,RMSE_Lasso
150,Lopes Brasil,0.0010074660390761924,0.001052363912625356,0.0010603923949366295,0.0009775408007559453,0.0009775408007559453
151,Lupatech,0.004606633494235906,0.0056074470575963415,0.008943753626364244,0.005183765532369868,0.005183765532369868
152,Lwsa,0.014399994422764045,0.01598850890337664,0.02457668605876631,0.01587832445577981,0.01587832445577981
153,M.Diasbranco,0.004068254211432902,0.005032412989349746,0.005336135903819065,0.004741091248566995,0.004741091248566995
154,MRV,0.006946003684027657,0.01239156469058325,0.011259174965687258,0.010242980377017843,0.010242980377017843
155,Magaz Luiza,0.02210501833589971,0.024073740885687613,0.025501336628279903,0.022916608804354113,0.022916608804354113
156,Mangels Indl,0.00047537885759452576,0.0005227715473823271,0.0010995584931686115,0.0004909550073594674,0.0004909550073594674
157,Marcopolo,0.0030201392985480767,0.005041298471006263,0.005563639850317991,0.004340278804107798,0.004340278804107798
158,Marfrig,0.03754023057992458,0.06415990465620668,0.058152092846583174,0.051925989801614704,0.051925989801614704
159,Mater Dei,0.010150844711571821,0.012101919773822321,0.014527870005817,0.012127285992318094,0.012127285992318094
160,Melhor SP,0.0007196300406136472,0.0007627360236324602,0.0010750403957678764,0.0007281184709887003,0.0007281184709887003
161,Meliuz,0.001805569395382031,0.002416890886463599,0.0028060554371072814,0.0023094604264833874,0.0023094604264833874
162,Melnick,0.003012688701344097,0.0038862327716362973,0.004569512237721382,0.003881097335441584,0.003881097335441584
163,Metal Leve,0.0015293971096089244,0.002597784366958806,0.002777082662819164,0.001960123723214472,0.001960123723214472
164,Metalfrio,0.003397018022414657,0.00478310499902209,0.005221511545751355,0.004475521659537071,0.004475521659537071
165,Metisa,0.00032008215901952575,0.0003435838730652101,0.00044784919887739074,0.0003334275064249398,0.0003334275064249398
166,Mills,0.00255792419882153,0.00309784823426782,0.0032475753808290887,0.002848794106595364,0.002848794106595364
167,Minerva,0.019598659584906752,0.035174374923439285,0.03070901142209836,0.03203898800315724,0.03203898800315724
168,Mitre Realty,0.002540857569431005,0.004140048433748834,0.002239709835704348,0.0039561361107200215,0.0039561361107200215
169,Mobly,0.0003825880413749286,0.0004957163901765319,0.0008531223947328972,0.0004994433613771382,0.0004994433613771382
170,Mont Aranha,0.002946856223005077,0.004669381316057809,0.004597173866429693,0.003949178851458441,0.003949178851458441
171,Moura Dubeux,0.002670934448157774,0.004046394454331844,0.0014430851775811162,0.004009781671587083,0.004009781671587083
172,Movida,0.022861106402601514,0.032835875123550476,0.033280258967149576,0.03018387059838159,0.03018387059838159
173,Mrs Logist,0.010787901381824233,0.01565024134235401,0.016071993950456467,0.015756036253803462,0.015756036253803462
174,Multilaser,0.010925219128748808,0.01424766766030247,0.013601529555777177,0.014369587209405722,0.014369587209405722
175,Multiplan,0.0033196150304832055,0.006818115201434557,0.007116656681181458,0.005052105935403505,0.005052105935403505
176,Mundial,0.0089219644548298,0.009564722851268359,0.015299180720213223,0.00943225517158953,0.00943225517158953
177,Neoenergia,0.0359442283968127,0.053212619335629756,0.055155259335367225,0.04954128303553612,0.04954128303553612
178,Neogrid,0.0012714459863173591,0.001736441583268985,0.0006642642953843556,0.001709803697431972,0.001709803697431972
179,Nexpe,0.0005924244520359529,0.0006666939583818266,0.0010435199826261039,0.0006186710669992823,0.0006186710669992823
180,Oceanpact,0.0032555417592752553,0.005088631525197271,0.00732555427945031,0.004889562316186361,0.004889562316186361
181,Odontoprev,0.002457812945760696,0.0030464854622180865,0.0031428002009113807,0.0025889766933475094,0.0025889766933475094
182,Oi,0.20442791564370247,0.24746154296877462,0.29318968262743755,0.2468882083891337,0.2468882083891337
183,Oncoclinicas,0.01558542535758025,0.02037942102376736,0.02003004133922709,0.02033885766247372,0.02033885766247372
184,Orizon,0.0035039252238710725,0.004823864771765525,0.006238996517352888,0.004767299207168588,0.004767299207168588
185,Ourofino S/A,0.0006917867858670582,0.0010301059097708913,0.0011412035072845958,0.0008382688721637458,0.0008382688721637458
186,P.Acucar-Cbd,0.059738903001264346,0.08163005166025988,0.061713919244103105,0.0740511408976169,0.0740511408976169
187,PDG Realt,0.014383912661137116,0.017588333603983024,0.012928054174695516,0.01794664445028141,0.01794664445028141
188,Padtec,0.0006447328566604382,0.0007518387299623182,0.0008109264771731547,0.0006603714019168625,0.0006603714019168625
189,Pague Menos,0.004430165960411407,0.0057249841008289075,0.006157101226620369,0.005589900845957627,0.005589900845957627
190,Panatlantica,0.0006674921238888667,0.000995480311309079,0.001363799319770013,0.00082893128366701,0.00082893128366701
191,Par Al Bahia,0.004694261667970643,0.0051842261115661046,0.00499217072144999,0.004490921416432566,0.004490921416432566
192,Paranapanema,0.01487518717068922,0.018391961559336645,0.02033640514145949,0.01761218203275748,0.01761218203275748
193,Petrobras,0.44188301018446857,0.3127109480559549,0.7706762795719354,0.5851012122653957,0.5851012122653957
194,Petrorecsa,0.013402445999156905,0.017637877392293524,0.023233279224028798,0.017077482444227982,0.017077482444227982
195,Petrorio,0.029919651425553206,0.039497022770535184,0.034211147323250854,0.034932089715774155,0.034932089715774155
196,Pettenati,0.0005216014454016645,0.0007365302061574207,0.0010588415532163966,0.0005713193840123741,0.0005713193840123741
197,Petz,0.00590813738768148,0.0062874991565104715,0.009392132007414454,0.006322460907499117,0.006322460907499117
198,Planoeplano,0.0023295835717992847,0.003398767846755703,0.002948281551677262,0.003233529906412293,0.003233529906412293
199,Plascar Part,0.002381998631705047,0.002289031080031042,0.0034253056364536363,0.002285215621361766,0.002285215621361766
200,Porto Seguro,0.01785990154435985,0.025778147913651746,0.02754447063840145,0.022470496969774174,0.022470496969774174
201,Portobello,0.0017849080597512187,0.0027800750458891786,0.0032515555313300014,0.002252794756352994,0.002252794756352994
202,Positivo Tec,0.0017653131462997554,0.0027587993480605514,0.0032735764208230715,0.002261958610544648,0.002261958610544648
203,Priner,0.0012638706676854725,0.0014125084012389468,0.0017280323959947086,0.0013574338587031235,0.0013574338587031235
204,Profarma,0.0017894912404239677,0.0030375597013509803,0.0031473935814708143,0.0025424160922886624,0.0025424160922886624
205,Qualicorp,0.00789234464214077,0.012634747610951928,0.013514438467256302,0.010709202663944995,0.010709202663944995
206,Quero-Quero,0.0022393665111144078,0.004339003359092592,0.005728397391647774,0.004174566420682228,0.004174566420682228
207,RaiaDrogasil,0.004193392352561508,0.007009150190979819,0.006826817365404664,0.005435406287746933,0.005435406287746933
208,Randon Part,0.0035482315920803854,0.00688941581490772,0.00732850150388963,0.0056462027500969745,0.0056462027500969745
209,Reaginvest,0.0015942766300103533,0.0018233731506104211,0.000784055871837682,0.0019120219145144222,0.0019120219145144222
210,Recrusul,5.7713587042707015e-05,5.771358615477826e-05,2.1525720547859885e-05,5.819962501809235e-05,5.819962501809235e-05
211,Rede D Or,0.06247455920678553,0.08749887777030792,0.09200094022563701,0.08809906697857338,0.08809906697857338
212,Rede Energia,0.011313567938966769,0.016952641221998473,0.017699571633740464,0.014187179238891411,0.014187179238891411
213,Renova,0.01297613866767938,0.01727148314202937,0.01994184712435795,0.01680717647249006,0.01680717647249006
214,Riosulense,0.0008977296974764822,0.0008723493304772962,0.0013713799788488553,0.0008602190406024126,0.0008602190406024126
215,Rni,0.0012587242425909932,0.00180205068250023,0.0017168241363007151,0.0015689071337102217,0.0015689071337102217
216,Romi,0.0007576152845920274,0.0011094074388992093,0.0016078646115414287,0.0009416661816141327,0.0009416661816141327
217,Rossi Resid,0.0034359138416938943,0.006068898727831421,0.007800764774169034,0.005768423819524266,0.005768423819524266
218,Rumo S.A.,0.031587253918850686,0.044713054215538776,0.054939144611015914,0.03796188781174833,0.03796188781174833
219,SLC Agricola,0.0060888907054419,0.01125890072065302,0.012017766202049774,0.009248653216898614,0.009248653216898614
220,SPturis,0.00021750207262577557,0.000200779805587593,0.00027071926492863686,0.00020206521826479857,0.00020206521826479857
221,Sabesp,0.013043592182779028,0.021606817287163238,0.02266298849496022,0.017492132546356943,0.017492132546356943
222,Sanepar,0.0030361758094360285,0.005396214105285058,0.0052940794589121445,0.004204431233486237,0.004204431233486237
223,Santanense,0.0008573740112038745,0.0010782458174591952,0.0010512918757283607,0.0009931324853648914,0.0009931324853648914
224,Santos Brp,0.010986593455401261,0.012609414942316453,0.011185782830143449,0.012985223021131266,0.012985223021131266
225,Sao Carlos,0.002974513775574259,0.0039561062839065,0.004532562197945296,0.003508204178920881,0.003508204178920881
226,Sao Martinho,0.005989473169685413,0.012178059786606226,0.010849010407232273,0.009629724784846605,0.009629724784846605
227,Schulz,0.0010772766018771645,0.00149106836305754,0.0019349706778862723,0.0010759477931440583,0.0010759477931440583
228,Sequoia Log,0.002940311689863217,0.003728612692540099,0.0033184976016972303,0.0036242959727279134,0.0036242959727279134
229,Ser Educa,0.0026710010416905764,0.0036556077493046413,0.004534588141713757,0.003151250706721931,0.003151250706721931
230,Serena,0.008674439716800148,0.015203892736961105,0.014606407572801655,0.013834546842910706,0.013834546842910706
231,Sid Nacional,0.038898496409489655,0.055699709029354706,0.05377961562479395,0.048106850462809055,0.048106850462809055
