,Empresa,Data,Real,Previsto,Erro Absoluto,Train RMSE,Test RMSE,Overfitting?,Underfitting?,Erro
2243,Eletrobras,2022-07-01,0.3898109232905569,0.03585076416562728,0.3539601591249296,0.07448059797938805,0.3539601591249296,True,False,0.3539601591249296
2244,Eletrobras,2022-10-01,0.07637248332381108,0.018997095859557465,0.057375387464253615,0.08891186890220243,0.057375387464253615,False,True,0.057375387464253615
2245,Eletrobras,2023-01-01,0.07773056971551195,-0.02261337741512648,0.10034394713063843,0.08703829758915493,0.10034394713063843,False,True,0.10034394713063843
2246,Eletrobras,2023-04-01,0.26898422583013404,0.0428834796334473,0.22610074619668674,0.08815032370643448,0.22610074619668674,True,False,0.22610074619668674
2247,Eletrobras,2023-07-01,-0.34660949538117014,-0.03376512792754528,0.31284436745362487,0.09014535088664957,0.31284436745362487,True,False,-0.31284436745362487
2248,Eletrobras,2023-10-01,0.28307090532416446,0.10561037203592102,0.17746053328824343,0.08983436859866918,0.17746053328824343,False,True,0.17746053328824343
2249,Eletrobras,2024-01-01,0.03444767675656313,0.0339817476677975,0.0004659290887656306,0.09070263397088801,0.0004659290887656306,False,True,0.0004659290887656306
2250,Eletrobras,2024-04-01,-0.27967795435522325,-0.04717497231953931,0.23250298203568392,0.09025702175311862,0.23250298203568392,True,False,-0.23250298203568392
2251,Eletrobras,2024-07-01,0.5302939583020667,0.11877406098142727,0.4115198973206394,0.09025467505404407,0.4115198973206394,True,False,0.4115198973206394
2252,Eletrobras,2024-10-01,-0.20988696556379716,-0.14728684130065783,0.06260012426313932,0.09442326462808787,0.06260012426313932,False,True,-0.06260012426313932
2253,Eletromidia,2022-01-01,0.001612747346030119,0.005491097314644773,0.0038783499686146543,0.005182715481370412,0.0038783499686146543,False,True,-0.0038783499686146543
2254,Eletromidia,2022-04-01,0.005725634314083683,0.00452806299456066,0.0011975713195230232,0.004831367682194561,0.0011975713195230232,False,True,0.0011975713195230232
2255,Eletromidia,2022-07-01,-0.006780329684353048,0.004755696547344066,0.011536026231697114,0.004438073037494324,0.011536026231697114,True,False,-0.011536026231697114
2256,Eletromidia,2022-10-01,-0.0006501259450417685,0.003349065843813538,0.003999191788855307,0.005738624820257241,0.003999191788855307,False,True,-0.003999191788855307
2257,Eletromidia,2023-01-01,0.0014403923337877877,0.00286907932829121,0.001428686994503422,0.005501937615046738,0.001428686994503422,False,True,-0.001428686994503422
2258,Eletromidia,2023-04-01,-0.002581709601307436,0.001905749363020455,0.004487458964327891,0.005215238646511061,0.004487458964327891,False,True,-0.004487458964327891
2259,Eletromidia,2023-07-01,-0.0017240356028596082,0.0015261529216384483,0.0032501885244980563,0.005162152215132398,0.0032501885244980563,False,True,-0.0032501885244980563
